Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
Maruti Wagon R,Mumbai,2010,72000,CNG,Manual,First,26.6,998,58.16,5.0,175000.0
Hyundai Creta 1.6,Pune,2015,41000,Diesel,Manual,First,19.67,1582,126.2,5.0,1250000.0
Honda Jazz V,Chennai,2011,46000,Petrol,Manual,First,18.2,1199,88.7,5.0,450000.0
Maruti Ertiga VDI,Chennai,2012,73000,Diesel,Manual,First,20.77,1248,88.76,7.0,600000.0
Audi A4 New,Coimbatore,2013,40670,Diesel,Automatic,Second,15.2,1968,140.8,5.0,1773999.9999999998
Hyundai EON LPG,Hyderabad,2012,73000,LPG,Manual,First,21.1,814,55.2,5.0,235000.0
Nissan Micra Diesel,Jaipur,2013,73000,Diesel,Manual,First,23.08,1461,63.1,5.0,350000.0
Toyota Innova Crysta,Mumbai,2016,36000,Diesel,Automatic,First,11.36,2755,171.5,8.0,1750000.0
Volkswagen Vento Diesel,Pune,2013,64430,Diesel,Manual,First,20.54,1598,103.6,5.0,520000.0
Tata Indica Vista,Chennai,2012,65932,Diesel,Manual,Second,22.3,1248,74.0,5.0,195000.0
Maruti Ciaz Zeta,Kochi,2018,34000,Petrol,Manual,First,21.56,1462,103.25,5.0,994999.9999999999
Honda City 1.5,Kolkata,2012,60000,Petrol,Automatic,First,16.8,1497,116.3,5.0,449000.0
Maruti Swift VDI,Jaipur,2015,64424,Diesel,Manual,First,25.2,1248,74.0,5.0,560000.0
Land Rover Range,Delhi,2014,72000,Diesel,Automatic,First,12.7,2179,187.7,5.0,2700000.0
Land Rover Freelander,Pune,2012,73000,Diesel,Automatic,Second,18.0,2179,115.0,5.0,1750000.0
Mitsubishi Pajero Sport,Delhi,2014,73000,Diesel,Manual,First,13.5,2477,175.56,7.0,1500000.0
Honda Amaze S,Kochi,2016,58950,Diesel,Manual,First,25.8,1498,98.6,5.0,540000.0
Maruti Swift DDiS,Jaipur,2017,34000,Diesel,Manual,First,28.4,1248,74.0,5.0,599000.0
Renault Duster 85PS,Kochi,2014,73000,Diesel,Manual,First,20.45,1461,83.8,5.0,634000.0
Mercedes-Benz New C-Class,Bangalore,2014,73000,Diesel,Automatic,First,14.84,2143,167.62,5.0,2800000.0
BMW 3 Series,Kochi,2014,34000,Diesel,Automatic,First,22.69,1995,190.0,5.0,1855000.0
Maruti S Cross,Bangalore,2015,55392,Diesel,Manual,Second,23.65,1248,88.5,5.0,825000.0
Audi A6 2011-2015,Mumbai,2015,55985,Petrol,Automatic,First,13.53,1984,177.01,5.0,2350000.0
Hyundai i20 1.2,Kolkata,2010,45807,Petrol,Manual,First,18.5,1197,80.0,5.0,187000.0
Volkswagen Vento Petrol,Kolkata,2010,34000,Petrol,Automatic,First,14.4,1598,103.6,5.0,285000.0
Honda City Corporate,Mumbai,2012,51920,Petrol,Manual,First,16.8,1497,116.3,5.0,425000.0
Nissan Micra Diesel,Hyderabad,2012,54000,Diesel,Manual,First,23.08,1461,63.1,5.0,425000.0
Maruti Alto K10,Hyderabad,2013,54000,Petrol,Manual,Second,20.92,998,67.1,5.0,275000.0
Honda WRV i-VTEC,Kochi,2018,37430,Petrol,Manual,First,17.5,1199,88.7,5.0,990000.0
Toyota Innova 2.5,Mumbai,2007,73000,Diesel,Manual,Fourth & Above,12.8,2494,102.0,7.0,400000.0
Renault Duster 110PS,Bangalore,2013,62000,Diesel,Manual,First,19.01,1461,108.45,5.0,775000.0
Toyota Corolla Altis,Delhi,2012,73000,Petrol,Manual,First,14.53,1798,138.1,5.0,675000.0
Mahindra Ssangyong Rexton,Bangalore,2013,72000,Diesel,Automatic,Second,11.18,2696,184.0,7.0,1250000.0
Audi A6 2.7,Kolkata,2010,35000,Diesel,Automatic,First,12.4,2698,179.5,5.0,1150000.0
Volkswagen Vento 1.6,Coimbatore,2014,55431,Petrol,Manual,Second,16.09,1598,103.5,5.0,698000.0
Maruti Wagon R,Jaipur,2009,73000,Petrol,Manual,Second,14.0,1061,64.0,5.0,185000.0
Maruti Vitara Brezza,Kochi,2018,50075,Diesel,Manual,First,24.3,1248,88.5,5.0,863000.0000000001
Mahindra KUV 100,Delhi,2017,52000,Petrol,Manual,First,18.15,1198,82.0,5.0,484999.99999999994
Mercedes-Benz M-Class ML,Pune,2013,73000,Diesel,Automatic,First,11.74,2987,254.8,5.0,2800000.0
Volkswagen Polo Diesel,Chennai,2013,62000,Diesel,Manual,First,22.07,1199,73.9,5.0,500000.0
Maruti Alto LXi,Delhi,2008,73000,Petrol,Manual,Second,19.7,796,46.3,5.0,125000.0
Tata Nano LX,Kochi,2014,34000,Petrol,Manual,First,25.4,624,37.5,4.0,153000.0
Mahindra KUV 100,Coimbatore,2017,34000,Diesel,Manual,First,25.32,1198,77.0,6.0,558000.0
Hyundai i20 Magna,Kochi,2014,35487,Petrol,Manual,First,18.5,1197,82.9,5.0,474000.0
Hyundai Elantra 2.0,Bangalore,2014,46374,Petrol,Automatic,First,14.62,1999,149.92,5.0,885000.0
Toyota Corolla Altis,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798,138.03,5.0,1011000.0
Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9,1991,112.2,5.0,425000.0
Toyota Innova Crysta,Bangalore,2012,70704,Petrol,Manual,First,11.25,2694,163.7,7.0,1095000.0
Hyundai Xcent 1.1,Jaipur,2014,73000,Diesel,Manual,First,24.4,1120,71.0,5.0,385000.0
Mahindra Thar CRDe,Jaipur,2012,73000,Diesel,Manual,Second,16.55,2498,105.0,6.0,550000.0
